"gene","value","type","log2.value","reg","pos","gn.sig","dir"
"Flower_005592-RA",0,"flower",-19.9315685693242,"-1",5592,"Y","down"
"Flower_005370-RA",0,"flower",-19.9315685693242,"-1",5370,"Y","down"
"Flower_005107-RA",0,"flower",-19.9315685693242,"-1",5107,"Y","down"
"Flower_050292-RA",0,"flower",-19.9315685693242,"-1",50292,"Y","down"
"Flower_012859-RA",0,"flower",-19.9315685693242,"-1",12859,"Y","down"
"Flower_025735-RA",0,"flower",-19.9315685693242,"-1",25735,"Y","down"
"Flower_010446-RA",0,"flower",-19.9315685693242,"-1",10446,"Y","down"
"Flower_041323-RA",0,"flower",-19.9315685693242,"-1",41323,"Y","down"
"Flower_003514-RA",0,"flower",-19.9315685693242,"-1",3514,"Y","down"
"Flower_025717-RA",0,"flower",-19.9315685693242,"-1",25717,"Y","down"
"Flower_023556-RA",0,"flower",-19.9315685693242,"-1",23556,"Y","down"
"Flower_026397-RA",0,"flower",-19.9315685693242,"-1",26397,"Y","down"
"Flower_024336-RA",0,"flower",-19.9315685693242,"-1",24336,"Y","down"
"Flower_034824-RA",0,"flower",-19.9315685693242,"-1",34824,"Y","down"
"Flower_042939-RA",0,"flower",-19.9315685693242,"-1",42939,"Y","down"
"Flower_031069-RA",0,"flower",-19.9315685693242,"-1",31069,"Y","down"
"Flower_043628-RA",0,"flower",-19.9315685693242,"-1",43628,"Y","down"
"Flower_030290-RA",0,"flower",-19.9315685693242,"-1",30290,"Y","down"
"Flower_021166-RA",0,"flower",-19.9315685693242,"-1",21166,"Y","down"
"Flower_029976-RA",0,"flower",-19.9315685693242,"-1",29976,"Y","down"
"Flower_053560-RA",0,"flower",-19.9315685693242,"-1",53560,"Y","down"
"Flower_053531-RA",0,"flower",-19.9315685693242,"-1",53531,"Y","down"
"Flower_050132-RA",0,"flower",-19.9315685693242,"-1",50132,"Y","down"
"Flower_052794-RA",0,"flower",-19.9315685693242,"-1",52794,"Y","down"
"Flower_042879-RA",0,"flower",-19.9315685693242,"-1",42879,"Y","down"
"Flower_037680-RA",0,"flower",-19.9315685693242,"-1",37680,"Y","down"
"Flower_027553-RA",0,"flower",-19.9315685693242,"-1",27553,"Y","down"
"Flower_038073-RA",0,"flower",-19.9315685693242,"-1",38073,"Y","down"
"Flower_033960-RA",0,"flower",-19.9315685693242,"-1",33960,"Y","down"
"Flower_057537-RA",0,"flower",-19.9315685693242,"-1",57537,"Y","down"
"Flower_011402-RA",0,"flower",-19.9315685693242,"-1",11402,"Y","down"
"Flower_056207-RA",0,"flower",-19.9315685693242,"-1",56207,"Y","down"
"Flower_005106-RA",0,"flower",-19.9315685693242,"-1",5106,"Y","down"
"Flower_053083-RA",0,"flower",-19.9315685693242,"-1",53083,"Y","down"
"Flower_044530-RA",0,"flower",-19.9315685693242,"-1",44530,"Y","down"
"Flower_030732-RA",0,"flower",-19.9315685693242,"-1",30732,"Y","down"
"Flower_045448-RA",0,"flower",-19.9315685693242,"-1",45448,"Y","down"
"Flower_026384-RA",0,"flower",-19.9315685693242,"-1",26384,"Y","down"
"Flower_039806-RA",0,"flower",-19.9315685693242,"-1",39806,"Y","down"
"Flower_013954-RA",0,"flower",-19.9315685693242,"-1",13954,"Y","down"
"Flower_040681-RA",0,"flower",-19.9315685693242,"-1",40681,"Y","down"
"Flower_027685-RA",0,"flower",-19.9315685693242,"-1",27685,"Y","down"
"Flower_045199-RA",0,"flower",-19.9315685693242,"-1",45199,"Y","down"
"Flower_014751-RA",0,"flower",-19.9315685693242,"-1",14751,"Y","down"
"Flower_045961-RA",0,"flower",-19.9315685693242,"-1",45961,"Y","down"
"Flower_008660-RA",0,"flower",-19.9315685693242,"-1",8660,"Y","down"
"Flower_045034-RA",0,"flower",-19.9315685693242,"-1",45034,"Y","down"
"Flower_045166-RA",0,"flower",-19.9315685693242,"-1",45166,"Y","down"
"Flower_008024-RA",0,"flower",-19.9315685693242,"-1",8024,"Y","down"
"Flower_035318-RA",0,"flower",-19.9315685693242,"-1",35318,"Y","down"
"Flower_035573-RA",0,"flower",-19.9315685693242,"-1",35573,"Y","down"
"Flower_037184-RA",0,"flower",-19.9315685693242,"-1",37184,"Y","down"
"Flower_021750-RA",0,"flower",-19.9315685693242,"-1",21750,"Y","down"
"Flower_050548-RA",0,"flower",-19.9315685693242,"-1",50548,"Y","down"
"Flower_039807-RA",0,"flower",-19.9315685693242,"-1",39807,"Y","down"
"Flower_045320-RA",0,"flower",-19.9315685693242,"-1",45320,"Y","down"
"Flower_013807-RA",0,"flower",-19.9315685693242,"-1",13807,"Y","down"
"Flower_027444-RA",0,"flower",-19.9315685693242,"-1",27444,"Y","down"
"Flower_035879-RA",0,"flower",-19.9315685693242,"-1",35879,"Y","down"
"Flower_007185-RA",0,"flower",-19.9315685693242,"-1",7185,"Y","down"
"Flower_020204-RA",0,"flower",-19.9315685693242,"-1",20204,"Y","down"
"Flower_038727-RA",0,"flower",-19.9315685693242,"-1",38727,"Y","down"
"Flower_058706-RA",0,"flower",-19.9315685693242,"-1",58706,"Y","down"
"Flower_020786-RA",0,"flower",-19.9315685693242,"-1",20786,"Y","down"
"Flower_043453-RA",0,"flower",-19.9315685693242,"-1",43453,"Y","down"
"Flower_003215-RA",0,"flower",-19.9315685693242,"-1",3215,"Y","down"
"Flower_033909-RA",0,"flower",-19.9315685693242,"-1",33909,"Y","down"
"Flower_039462-RA",0,"flower",-19.9315685693242,"-1",39462,"Y","down"
"Flower_024414-RA",0,"flower",-19.9315685693242,"-1",24414,"Y","down"
"Flower_012902-RA",0,"flower",-19.9315685693242,"-1",12902,"Y","down"
"Flower_030619-RA",0,"flower",-19.9315685693242,"-1",30619,"Y","down"
"Flower_033978-RA",0,"flower",-19.9315685693242,"-1",33978,"Y","down"
"Flower_013624-RA",0,"flower",-19.9315685693242,"-1",13624,"Y","down"
"Flower_060345-RA",0,"flower",-19.9315685693242,"-1",60345,"Y","down"
"Flower_025392-RA",0,"flower",-19.9315685693242,"-1",25392,"Y","down"
"Flower_036766-RA",0,"flower",-19.9315685693242,"-1",36766,"Y","down"
"Flower_008664-RA",0,"flower",-19.9315685693242,"-1",8664,"Y","down"
"Flower_060246-RA",0,"flower",-19.9315685693242,"-1",60246,"Y","down"
"Flower_050849-RA",0,"flower",-19.9315685693242,"-1",50849,"Y","down"
"Flower_015756-RA",0,"flower",-19.9315685693242,"-1",15756,"Y","down"
"Flower_033228-RA",0,"flower",-19.9315685693242,"-1",33228,"Y","down"
"Flower_033329-RA",0,"flower",-19.9315685693242,"-1",33329,"Y","down"
"Flower_007513-RA",0,"flower",-19.9315685693242,"-1",7513,"Y","down"
"Flower_012901-RA",0,"flower",-19.9315685693242,"-1",12901,"Y","down"
"Flower_048836-RA",0,"flower",-19.9315685693242,"-1",48836,"Y","down"
"Flower_048879-RA",0,"flower",-19.9315685693242,"-1",48879,"Y","down"
"Flower_048966-RA",0,"flower",-19.9315685693242,"-1",48966,"Y","down"
"Flower_049008-RA",0,"flower",-19.9315685693242,"-1",49008,"Y","down"
"Flower_059434-RA",0,"flower",-19.9315685693242,"-1",59434,"Y","down"
"Flower_007845-RA",0,"flower",-19.9315685693242,"-1",7845,"Y","down"
"Flower_034755-RA",0,"flower",-19.9315685693242,"-1",34755,"Y","down"
"Flower_043268-RA",0,"flower",-19.9315685693242,"-1",43268,"Y","down"
"Flower_021906-RA",0,"flower",-19.9315685693242,"-1",21906,"Y","down"
"Flower_002258-RA",0,"flower",-19.9315685693242,"-1",2258,"Y","down"
"Flower_017323-RA",0,"flower",-19.9315685693242,"-1",17323,"Y","down"
"Flower_025048-RA",0,"flower",-19.9315685693242,"-1",25048,"Y","down"
"Flower_033622-RA",0,"flower",-19.9315685693242,"-1",33622,"Y","down"
"Flower_012749-RA",0,"flower",-19.9315685693242,"-1",12749,"Y","down"
"Flower_029409-RA",0,"flower",-19.9315685693242,"-1",29409,"Y","down"
"Flower_027470-RA",0,"flower",-19.9315685693242,"-1",27470,"Y","down"
"Flower_019166-RA",0,"flower",-19.9315685693242,"-1",19166,"Y","down"
"Flower_030492-RA",0,"flower",-19.9315685693242,"-1",30492,"Y","down"
"Flower_015552-RA",0,"flower",-19.9315685693242,"-1",15552,"Y","down"
"Flower_011813-RA",0,"flower",-19.9315685693242,"-1",11813,"Y","down"
"Flower_006975-RA",0,"flower",-19.9315685693242,"-1",6975,"Y","down"
"Flower_044451-RA",0,"flower",-19.9315685693242,"-1",44451,"Y","down"
"Flower_059418-RA",0,"flower",-19.9315685693242,"-1",59418,"Y","down"
"Flower_003133-RA",0,"flower",-19.9315685693242,"-1",3133,"Y","down"
"Flower_027832-RA",0,"bud",-19.9315685693242,"1",27832,"Y","up"
"Flower_019982-RA",0,"bud",-19.9315685693242,"1",19982,"Y","up"
"Flower_050329-RA",0,"bud",-19.9315685693242,"1",50329,"Y","up"
"Flower_013185-RA",0,"bud",-19.9315685693242,"1",13185,"Y","up"
"Flower_012865-RA",0,"bud",-19.9315685693242,"1",12865,"Y","up"
"Flower_032554-RA",0,"bud",-19.9315685693242,"1",32554,"Y","up"
"Flower_020322-RA",0,"bud",-19.9315685693242,"1",20322,"Y","up"
"Flower_016511-RA",0,"bud",-19.9315685693242,"1",16511,"Y","up"
"Flower_016375-RA",0,"bud",-19.9315685693242,"1",16375,"Y","up"
"Flower_002229-RA",0,"bud",-19.9315685693242,"1",2229,"Y","up"
"Flower_051021-RA",0,"bud",-19.9315685693242,"1",51021,"Y","up"
"Flower_016249-RA",0,"bud",-19.9315685693242,"1",16249,"Y","up"
"Flower_003917-RA",0,"bud",-19.9315685693242,"1",3917,"Y","up"
"Flower_003848-RA",0,"bud",-19.9315685693242,"1",3848,"Y","up"
"Flower_003624-RA",0,"bud",-19.9315685693242,"1",3624,"Y","up"
"Flower_036533-RA",0,"bud",-19.9315685693242,"1",36533,"Y","up"
"Flower_044209-RA",0,"bud",-19.9315685693242,"1",44209,"Y","up"
"Flower_008588-RA",0,"bud",-19.9315685693242,"1",8588,"Y","up"
"Flower_039059-RA",0,"bud",-19.9315685693242,"1",39059,"Y","up"
"Flower_016043-RA",0,"bud",-19.9315685693242,"1",16043,"Y","up"
"Flower_024991-RA",0,"bud",-19.9315685693242,"1",24991,"Y","up"
"Flower_026892-RA",0,"bud",-19.9315685693242,"1",26892,"Y","up"
"Flower_006278-RA",0,"bud",-19.9315685693242,"1",6278,"Y","up"
"Flower_028282-RA",0,"bud",-19.9315685693242,"1",28282,"Y","up"
"Flower_057216-RA",0,"bud",-19.9315685693242,"1",57216,"Y","up"
"Flower_043933-RA",0,"bud",-19.9315685693242,"1",43933,"Y","up"
"Flower_059704-RA",0,"bud",-19.9315685693242,"1",59704,"Y","up"
"Flower_025213-RA",0,"bud",-19.9315685693242,"1",25213,"Y","up"
"Flower_014466-RA",0,"bud",-19.9315685693242,"1",14466,"Y","up"
"Flower_043636-RA",0,"bud",-19.9315685693242,"1",43636,"Y","up"
"Flower_036536-RA",0,"bud",-19.9315685693242,"1",36536,"Y","up"
"Flower_037081-RA",0,"bud",-19.9315685693242,"1",37081,"Y","up"
"Flower_023825-RA",0,"bud",-19.9315685693242,"1",23825,"Y","up"
"Flower_018222-RA",0,"bud",-19.9315685693242,"1",18222,"Y","up"
"Flower_013645-RA",0,"bud",-19.9315685693242,"1",13645,"Y","up"
"Flower_055968-RA",0,"bud",-19.9315685693242,"1",55968,"Y","up"
"Flower_036537-RA",0,"bud",-19.9315685693242,"1",36537,"Y","up"
"Flower_031224-RA",0,"bud",-19.9315685693242,"1",31224,"Y","up"
"Flower_036508-RA",0,"bud",-19.9315685693242,"1",36508,"Y","up"
"Flower_057027-RA",0,"bud",-19.9315685693242,"1",57027,"Y","up"
"Flower_036258-RA",0,"bud",-19.9315685693242,"1",36258,"Y","up"
"Flower_055351-RA",0,"bud",-19.9315685693242,"1",55351,"Y","up"
"Flower_058363-RA",0,"bud",-19.9315685693242,"1",58363,"Y","up"
"Flower_057121-RA",0,"bud",-19.9315685693242,"1",57121,"Y","up"
"Flower_027237-RA",0,"bud",-19.9315685693242,"1",27237,"Y","up"
"Flower_050499-RA",0,"bud",-19.9315685693242,"1",50499,"Y","up"
"Flower_057038-RA",0,"bud",-19.9315685693242,"1",57038,"Y","up"
"Flower_040469-RA",0,"bud",-19.9315685693242,"1",40469,"Y","up"
"Flower_020431-RA",0,"bud",-19.9315685693242,"1",20431,"Y","up"
"Flower_027527-RA",0,"bud",-19.9315685693242,"1",27527,"Y","up"
"Flower_030839-RA",0,"bud",-19.9315685693242,"1",30839,"Y","up"
"Flower_021970-RA",0,"bud",-19.9315685693242,"1",21970,"Y","up"
"Flower_042517-RA",0,"bud",-19.9315685693242,"1",42517,"Y","up"
"Flower_055184-RA",0,"bud",-19.9315685693242,"1",55184,"Y","up"
"Flower_050330-RA",0,"bud",-19.9315685693242,"1",50330,"Y","up"
"Flower_055714-RA",0,"bud",-19.9315685693242,"1",55714,"Y","up"
"Flower_028995-RA",0,"bud",-19.9315685693242,"1",28995,"Y","up"
"Flower_035315-RA",0,"bud",-19.9315685693242,"1",35315,"Y","up"
"Flower_006672-RA",0,"bud",-19.9315685693242,"1",6672,"Y","up"
"Flower_024081-RA",0,"bud",-19.9315685693242,"1",24081,"Y","up"
"Flower_040057-RA",0,"bud",-19.9315685693242,"1",40057,"Y","up"
"Flower_020344-RA",0,"bud",-19.9315685693242,"1",20344,"Y","up"
"Flower_056111-RA",0,"bud",-19.9315685693242,"1",56111,"Y","up"
"Flower_022857-RA",0,"bud",-19.9315685693242,"1",22857,"Y","up"
"Flower_030781-RA",0,"bud",-19.9315685693242,"1",30781,"Y","up"
"Flower_059469-RA",0,"bud",-19.9315685693242,"1",59469,"Y","up"
"Flower_004637-RA",0,"bud",-19.9315685693242,"1",4637,"Y","up"
"Flower_042918-RA",0,"bud",-19.9315685693242,"1",42918,"Y","up"
"Flower_036849-RA",0,"bud",-19.9315685693242,"1",36849,"Y","up"
"Flower_031293-RA",0,"bud",-19.9315685693242,"1",31293,"Y","up"
"Flower_056544-RA",0,"bud",-19.9315685693242,"1",56544,"Y","up"
"Flower_046025-RA",0,"bud",-19.9315685693242,"1",46025,"Y","up"
"Flower_019231-RA",0,"bud",-19.9315685693242,"1",19231,"Y","up"
"Flower_017730-RA",0,"bud",-19.9315685693242,"1",17730,"Y","up"
"Flower_042512-RA",0,"bud",-19.9315685693242,"1",42512,"Y","up"
"Flower_027318-RA",0,"bud",-19.9315685693242,"1",27318,"Y","up"
"Flower_023647-RA",0,"bud",-19.9315685693242,"1",23647,"Y","up"
"Flower_028496-RA",0,"bud",-19.9315685693242,"1",28496,"Y","up"
"Flower_057969-RA",0,"bud",-19.9315685693242,"1",57969,"Y","up"
"Flower_037072-RA",0,"bud",-19.9315685693242,"1",37072,"Y","up"
"Flower_037083-RA",0,"bud",-19.9315685693242,"1",37083,"Y","up"
"Flower_008232-RA",0,"bud",-19.9315685693242,"1",8232,"Y","up"
"Flower_008334-RA",0,"bud",-19.9315685693242,"1",8334,"Y","up"
"Flower_022182-RA",0,"bud",-19.9315685693242,"1",22182,"Y","up"
"Flower_042952-RA",0,"bud",-19.9315685693242,"1",42952,"Y","up"
"Flower_014529-RA",0,"bud",-19.9315685693242,"1",14529,"Y","up"
"Flower_002230-RA",0,"bud",-19.9315685693242,"1",2230,"Y","up"
"Flower_016479-RA",0,"bud",-19.9315685693242,"1",16479,"Y","up"
"Flower_031080-RA",0,"bud",-19.9315685693242,"1",31080,"Y","up"
"Flower_001050-RA",0,"bud",-19.9315685693242,"1",1050,"Y","up"
"Flower_024990-RA",0,"bud",-19.9315685693242,"1",24990,"Y","up"
"Flower_025482-RA",0,"bud",-19.9315685693242,"1",25482,"Y","up"
"Flower_015380-RA",0,"bud",-19.9315685693242,"1",15380,"Y","up"
"Flower_015632-RA",0,"bud",-19.9315685693242,"1",15632,"Y","up"
"Flower_018050-RA",0,"bud",-19.9315685693242,"1",18050,"Y","up"
"Flower_020308-RA",0,"bud",-19.9315685693242,"1",20308,"Y","up"
"Flower_059066-RA",0,"bud",-19.9315685693242,"1",59066,"Y","up"
"Flower_059440-RA",0,"bud",-19.9315685693242,"1",59440,"Y","up"
"Flower_003032-RA",0,"bud",-19.9315685693242,"1",3032,"Y","up"
